,Created At,positivi,negativi,neutrali
44567,2021-03-08 10:16:23,0,0,1
44568,2021-03-08 10:16:22,0,0,1
44569,2021-03-08 10:16:22,1,0,0
44570,2021-03-08 10:16:21,1,0,0
44571,2021-03-08 10:16:21,1,0,0
44572,2021-03-08 10:16:20,0,0,1
44573,2021-03-08 10:16:17,0,0,1
44574,2021-03-08 10:16:17,0,1,0
44575,2021-03-08 10:16:17,0,0,1
44576,2021-03-08 10:16:14,0,0,1
44577,2021-03-08 10:16:13,1,0,0
44578,2021-03-08 10:16:12,0,1,0
44579,2021-03-08 10:16:11,0,0,1
44580,2021-03-08 10:16:11,0,0,1
44581,2021-03-08 10:16:10,0,1,0
44582,2021-03-08 10:16:09,0,0,1
44583,2021-03-08 10:16:08,0,1,0
44584,2021-03-08 10:16:08,0,1,0
44585,2021-03-08 10:16:07,1,0,0
44586,2021-03-08 10:16:07,0,0,1
44587,2021-03-08 10:16:07,0,1,0
44588,2021-03-08 10:16:06,1,0,0
44589,2021-03-08 10:16:05,0,0,1
44590,2021-03-08 10:16:05,0,0,1
44591,2021-03-08 10:16:04,0,1,0
44592,2021-03-08 10:16:04,0,0,1
44593,2021-03-08 10:16:02,0,0,1
44594,2021-03-08 10:16:00,0,0,1
44595,2021-03-08 10:15:56,0,0,1
44596,2021-03-08 10:15:55,1,0,0
44597,2021-03-08 10:15:54,0,0,1
44598,2021-03-08 10:15:53,0,0,1
44599,2021-03-08 10:15:53,0,0,1
44600,2021-03-08 10:15:52,0,0,1
44601,2021-03-08 10:15:51,0,0,1
44602,2021-03-08 10:15:51,0,0,1
44603,2021-03-08 10:15:50,0,0,1
44604,2021-03-08 10:15:48,0,1,0
44605,2021-03-08 10:15:48,0,0,1
44606,2021-03-08 10:15:48,0,0,1
44607,2021-03-08 10:15:47,0,0,1
44608,2021-03-08 10:15:46,1,0,0
44609,2021-03-08 10:15:43,0,0,1
44610,2021-03-08 10:15:41,0,0,1
44611,2021-03-08 10:15:41,0,1,0
44612,2021-03-08 10:15:40,1,0,0
44613,2021-03-08 10:15:38,0,0,1
44614,2021-03-08 10:15:37,0,1,0
44615,2021-03-08 10:15:35,0,0,1
44616,2021-03-08 10:15:34,1,0,0
44617,2021-03-08 10:15:33,0,0,1
44618,2021-03-08 10:15:32,0,0,1
44619,2021-03-08 10:15:31,0,0,1
44620,2021-03-08 10:15:31,0,0,1
44621,2021-03-08 10:15:31,0,0,1
44622,2021-03-08 10:15:29,0,1,0
44623,2021-03-08 10:15:29,0,0,1
44624,2021-03-08 10:15:27,0,0,1
44625,2021-03-08 10:15:26,0,0,1
44626,2021-03-08 10:15:26,0,0,1
44627,2021-03-08 10:15:25,1,0,0
44628,2021-03-08 10:15:25,1,0,0
44629,2021-03-08 10:15:24,0,0,1
44630,2021-03-08 10:15:23,1,0,0
44631,2021-03-08 10:15:22,0,1,0
44632,2021-03-08 10:15:21,0,1,0
44633,2021-03-08 10:15:21,1,0,0
44634,2021-03-08 10:15:20,0,0,1
44635,2021-03-08 10:15:18,0,0,1
44636,2021-03-08 10:15:17,1,0,0
44637,2021-03-08 10:15:16,0,1,0
44638,2021-03-08 10:15:16,0,0,1
44639,2021-03-08 10:15:16,1,0,0
44640,2021-03-08 10:15:16,1,0,0
44641,2021-03-08 10:15:15,1,0,0
44642,2021-03-08 10:15:14,1,0,0
44643,2021-03-08 10:15:14,0,0,1
44644,2021-03-08 10:15:12,1,0,0
44645,2021-03-08 10:15:12,1,0,0
44646,2021-03-08 10:15:12,1,0,0
44647,2021-03-08 10:15:12,0,0,1
44648,2021-03-08 10:15:11,0,0,1
44649,2021-03-08 10:15:11,0,0,1
44650,2021-03-08 10:15:10,0,0,1
44651,2021-03-08 10:15:08,0,0,1
44652,2021-03-08 10:15:07,0,1,0
44653,2021-03-08 10:15:07,0,0,1
44654,2021-03-08 10:15:06,1,0,0
44655,2021-03-08 10:15:06,1,0,0
44656,2021-03-08 10:15:06,0,0,1
44657,2021-03-08 10:15:06,0,1,0
44658,2021-03-08 10:15:06,0,0,1
44659,2021-03-08 10:15:04,0,0,1
44660,2021-03-08 10:15:04,0,0,1
44661,2021-03-08 10:15:03,0,0,1
44662,2021-03-08 10:15:03,0,0,1
44663,2021-03-08 10:15:02,0,0,1
44664,2021-03-08 10:15:02,0,0,1
44665,2021-03-08 10:15:01,1,0,0
44666,2021-03-08 10:14:59,0,0,1
44667,2021-03-08 10:14:58,0,0,1
44668,2021-03-08 10:14:58,0,0,1
